New_York_State_Statewide_COVID-19_Testing (1),,,,,,
Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,Infection Rate
04/28/2020,Tompkins,1,127,119,"3,492",
04/28/2020,Ulster,22,"1,252",335,"7,773",
04/28/2020,Warren,2,152,12,"1,268",
04/28/2020,Washington,3,134,19,947,
04/28/2020,Wayne,0,70,45,"1,185",
04/28/2020,Westchester,381,"28,626","1,843","90,987",
04/28/2020,Wyoming,2,65,26,551,
04/28/2020,Yates,0,17,8,252,
04/27/2020,Albany,30,"1,009",197,"9,520",
04/27/2020,Allegany,0,35,14,499,
04/27/2020,Bronx,438,"35,994","2,107","84,316",
04/27/2020,Broome,5,266,60,"2,160",
04/27/2020,Cattaraugus,0,45,15,748,
04/27/2020,Cayuga,0,48,20,898,
04/27/2020,Chautauqua,0,30,26,"1,057",
04/27/2020,Chemung,5,113,64,"1,383",
04/27/2020,Chenango,0,95,10,746,
04/27/2020,Clinton,0,59,15,685,
04/27/2020,Columbia,8,154,33,"1,204",
04/27/2020,Cortland,0,28,7,"1,064",
04/27/2020,Delaware,1,59,16,691,
04/27/2020,Dutchess,24,"2,817",223,"13,649",
04/27/2020,Erie,68,"3,089",586,"14,503",
04/27/2020,Essex,2,26,16,322,
04/27/2020,Franklin,0,14,13,343,
04/27/2020,Fulton,4,66,16,737,
04/27/2020,Genesee,1,149,28,948,
04/27/2020,Greene,1,112,20,"1,041",
04/27/2020,Hamilton,0,3,1,36,
04/27/2020,Herkimer,0,58,14,736,
04/27/2020,Jefferson,0,60,15,"1,454",
04/27/2020,Kings,573,"43,587","2,940","103,673",
04/27/2020,Lewis,0,9,6,296,
04/27/2020,Livingston,3,65,24,955,
04/27/2020,Madison,2,126,26,"1,156",
04/27/2020,Monroe,40,"1,371",543,"13,016",
04/27/2020,Montgomery,2,49,19,666,
04/27/2020,Nassau,220,"35,085","1,499","90,267",
04/27/2020,New York,215,"21,312","1,650","62,043",
04/27/2020,Niagara,8,386,89,"2,260",
04/27/2020,Oneida,14,411,132,"3,157",
04/27/2020,Onondaga,16,742,268,"9,938",
04/27/2020,Ontario,4,90,50,"1,473",
04/27/2020,Orange,136,"8,374",645,"25,740",
04/27/2020,Orleans,0,80,8,567,
04/27/2020,Oswego,2,63,40,"1,508",
04/27/2020,Otsego,3,65,33,"1,167",
04/27/2020,Putnam,7,932,82,"3,769",
04/27/2020,Queens,530,"49,929","2,628","112,427",
04/27/2020,Rensselaer,4,250,39,"3,075",
04/27/2020,Richmond,93,"11,516",567,"31,710",
04/27/2020,Rockland,87,"11,453",537,"29,374",
04/27/2020,Saratoga,7,343,116,"4,719",
04/27/2020,Schenectady,12,469,119,"3,744",
04/27/2020,Schoharie,3,38,19,571,
04/27/2020,Schuyler,0,7,8,390,
04/27/2020,Seneca,0,38,9,438,
04/27/2020,St. Lawrence,1,170,19,"1,465",
04/27/2020,Steuben,1,210,58,"1,869",
04/27/2020,Suffolk,254,"32,724","1,429","86,499",
04/27/2020,Sullivan,21,769,77,"3,527",
04/27/2020,Tioga,11,82,86,747,
04/27/2020,Tompkins,0,126,13,"3,373",
04/27/2020,Ulster,11,"1,230",94,"7,438",
04/27/2020,Warren,3,150,25,"1,256",
04/27/2020,Washington,1,131,13,928,
04/27/2020,Wayne,1,70,53,"1,140",
04/27/2020,Westchester,238,"28,245","1,408","89,144",
04/27/2020,Wyoming,0,63,9,525,
04/27/2020,Yates,0,17,3,244,
04/26/2020,Albany,31,979,263,"9,323",
04/26/2020,Allegany,0,35,9,485,
04/26/2020,Bronx,586,"35,556","2,363","82,209",
04/26/2020,Broome,4,261,69,"2,100",
04/26/2020,Cattaraugus,0,45,21,733,
04/26/2020,Cayuga,1,48,20,878,
04/26/2020,Chautauqua,1,30,101,"1,031",
04/26/2020,Chemung,2,108,20,"1,319",
04/26/2020,Chenango,2,95,23,736,
04/26/2020,Clinton,2,59,30,670,
04/26/2020,Columbia,3,146,22,"1,171",
04/26/2020,Cortland,0,28,16,"1,057",
04/26/2020,Delaware,0,58,21,675,
04/26/2020,Dutchess,64,"2,793",389,"13,426",
04/26/2020,Erie,67,"3,021",508,"13,917",
04/26/2020,Essex,0,24,27,306,
04/26/2020,Franklin,0,14,17,330,
04/26/2020,Fulton,0,62,9,721,
04/26/2020,Genesee,4,148,20,920,
04/26/2020,Greene,1,111,25,"1,021",
04/26/2020,Hamilton,0,3,2,35,
04/26/2020,Herkimer,1,58,26,722,
04/26/2020,Jefferson,0,60,52,"1,439",
04/26/2020,Kings,527,"43,014","2,684","100,733",
04/26/2020,Lewis,0,9,14,290,
04/26/2020,Livingston,2,62,15,931,
04/26/2020,Madison,1,124,16,"1,130",
04/26/2020,Monroe,15,"1,331",234,"12,473",
04/26/2020,Montgomery,0,47,9,647,
04/26/2020,Nassau,343,"34,865","1,871","88,768",
04/26/2020,New York,324,"21,097","2,007","60,393",
04/26/2020,Niagara,10,378,95,"2,171",
04/26/2020,Oneida,13,397,128,"3,025",
04/26/2020,Onondaga,34,726,256,"9,670",
04/26/2020,Ontario,2,86,40,"1,423",
04/26/2020,Orange,132,"8,238",587,"25,095",
04/26/2020,Orleans,0,80,14,559,
04/26/2020,Oswego,0,61,33,"1,468",
04/26/2020,Otsego,2,62,38,"1,134",
04/26/2020,Putnam,21,925,127,"3,687",
04/26/2020,Queens,654,"49,399","2,829","109,799",
04/26/2020,Rensselaer,4,246,83,"3,036",
04/26/2020,Richmond,140,"11,423",658,"31,143",
04/26/2020,Rockland,110,"11,366",565,"28,837",
04/26/2020,Saratoga,6,336,114,"4,603",
04/26/2020,Schenectady,8,457,96,"3,625",
04/26/2020,Schoharie,0,35,15,552,
04/26/2020,Schuyler,0,7,9,382,
04/26/2020,Seneca,0,38,12,429,
04/26/2020,St. Lawrence,2,169,27,"1,446",
04/26/2020,Steuben,2,209,10,"1,811",
04/26/2020,Suffolk,411,"32,470","1,826","85,070",
04/26/2020,Sullivan,24,748,120,"3,450",
04/26/2020,Tioga,0,71,8,661,
04/26/2020,Tompkins,0,126,47,"3,360",
04/26/2020,Ulster,29,"1,219",198,"7,344",
04/26/2020,Warren,12,147,60,"1,231",
04/26/2020,Washington,3,130,37,915,
04/26/2020,Wayne,4,69,28,"1,087",
04/26/2020,Westchester,343,"28,007","1,764","87,736",
04/26/2020,Wyoming,4,63,15,516,
04/26/2020,Yates,0,17,3,241,
04/25/2020,Albany,49,948,402,"9,060",
04/25/2020,Allegany,0,35,12,476,
04/25/2020,Bronx,787,"34,970","2,967","79,846",
04/25/2020,Broome,6,257,105,"2,031",
04/25/2020,Cattaraugus,0,45,24,712,
04/25/2020,Cayuga,0,47,19,858,
04/25/2020,Chautauqua,2,29,56,930,
04/25/2020,Chemung,3,106,17,"1,299",
04/25/2020,Chenango,2,93,19,713,
04/25/2020,Clinton,3,57,28,640,
04/25/2020,Columbia,3,143,27,"1,149",
04/25/2020,Cortland,0,28,26,"1,041",
04/25/2020,Delaware,0,58,35,654,
04/25/2020,Dutchess,69,"2,729",485,"13,037",
04/25/2020,Erie,181,"2,954",795,"13,409",
04/25/2020,Essex,0,24,15,279,
04/25/2020,Franklin,0,14,3,313,
04/25/2020,Fulton,1,62,29,712,
04/25/2020,Genesee,3,144,37,900,
04/25/2020,Greene,3,110,36,996,
04/25/2020,Hamilton,0,3,1,33,
04/25/2020,Herkimer,1,57,31,696,
04/25/2020,Jefferson,1,60,27,"1,387",
04/25/2020,Kings,827,"42,487","3,685","98,049",
04/25/2020,Lewis,0,9,12,276,
04/25/2020,Livingston,2,60,61,916,
04/25/2020,Madison,2,123,22,"1,114",
04/25/2020,Monroe,31,"1,316",341,"12,239",
04/25/2020,Montgomery,1,47,35,638,
04/25/2020,Nassau,724,"34,522","3,334","86,897",
04/25/2020,New York,493,"20,773","2,354","58,386",
04/25/2020,Niagara,24,368,142,"2,076",
04/25/2020,Oneida,20,384,112,"2,897",
04/25/2020,Onondaga,28,692,280,"9,414",
04/25/2020,Ontario,2,84,34,"1,383",
04/25/2020,Orange,133,"8,106",643,"24,508",
04/25/2020,Orleans,5,80,28,545,
04/25/2020,Oswego,4,61,67,"1,435",
04/25/2020,Otsego,0,60,43,"1,096",
04/25/2020,Putnam,19,904,112,"3,560",
04/25/2020,Queens,884,"48,745","3,676","106,970",
04/25/2020,Rensselaer,21,242,151,"2,953",
04/25/2020,Richmond,154,"11,283",882,"30,485",
04/25/2020,Rockland,165,"11,256",677,"28,272",
04/25/2020,Saratoga,10,330,217,"4,489",
04/25/2020,Schenectady,18,449,186,"3,529",
04/25/2020,Schoharie,2,35,29,537,
04/25/2020,Schuyler,0,7,10,373,
04/25/2020,Seneca,2,38,11,417,
04/25/2020,St. Lawrence,11,167,36,"1,419",
04/25/2020,Steuben,3,207,35,"1,801",
04/25/2020,Suffolk,691,"32,059","2,830","83,244",
04/25/2020,Sullivan,35,724,160,"3,330",
04/25/2020,Tioga,0,71,8,653,
04/25/2020,Tompkins,0,126,44,"3,313",
04/25/2020,Ulster,24,"1,190",207,"7,146",
04/25/2020,Warren,3,135,61,"1,171",
04/25/2020,Washington,14,127,51,878,
04/25/2020,Wayne,0,65,36,"1,059",
04/25/2020,Westchester,433,"27,664","1,951","85,972",
04/25/2020,Wyoming,2,59,19,501,
04/25/2020,Yates,1,17,4,238,
04/24/2020,Albany,94,899,626,"8,658",
04/24/2020,Allegany,4,35,61,464,
04/24/2020,Bronx,"1,482","34,183","4,800","76,879",
04/24/2020,Broome,19,251,212,"1,926",
04/24/2020,Cattaraugus,6,45,102,688,
04/24/2020,Cayuga,8,47,191,839,
04/24/2020,Chautauqua,0,27,97,874,
04/24/2020,Chemung,24,103,228,"1,282",
04/24/2020,Chenango,7,91,144,694,
04/24/2020,Clinton,1,54,39,612,
04/24/2020,Columbia,11,140,105,"1,122",
04/24/2020,Cortland,3,28,109,"1,015",
04/24/2020,Delaware,7,58,135,619,
04/24/2020,Dutchess,143,"2,660",913,"12,552",
04/24/2020,Erie,170,"2,773",872,"12,614",
04/24/2020,Essex,2,24,35,264,
04/24/2020,Franklin,1,14,35,310,
04/24/2020,Fulton,32,61,202,683,
04/24/2020,Genesee,14,141,145,863,
04/24/2020,Greene,17,107,212,960,
04/24/2020,Hamilton,0,3,3,32,
04/24/2020,Herkimer,0,56,59,665,
04/24/2020,Jefferson,1,59,63,"1,360",
04/24/2020,Kings,"1,012","41,660","4,021","94,364",
04/24/2020,Lewis,0,9,41,264,
04/24/2020,Livingston,14,58,295,855,
04/24/2020,Madison,15,121,294,"1,092",
04/24/2020,Monroe,86,"1,285","1,134","11,898",
04/24/2020,Montgomery,7,46,226,603,
04/24/2020,Nassau,"1,033","33,798","4,225","83,563",
04/24/2020,New York,426,"20,280","2,110","56,032",
04/24/2020,Niagara,12,344,107,"1,934",
04/24/2020,Oneida,41,364,401,"2,785",
04/24/2020,Onondaga,25,664,530,"9,134",
04/24/2020,Ontario,9,82,239,"1,349",
04/24/2020,Orange,818,"7,973","2,748","23,865",
04/24/2020,Orleans,15,75,98,517,
04/24/2020,Oswego,6,57,298,"1,368",
04/24/2020,Otsego,10,60,249,"1,053",
04/24/2020,Putnam,266,885,"1,134","3,448",
04/24/2020,Queens,"1,474","47,861","5,296","103,294",
04/24/2020,Rensselaer,23,221,209,"2,802",
04/24/2020,Richmond,246,"11,129","1,011","29,603",
04/24/2020,Rockland,"1,000","11,091","2,606","27,595",
04/24/2020,Saratoga,42,320,642,"4,272",
04/24/2020,Schenectady,134,431,964,"3,343",
04/24/2020,Schoharie,12,33,177,508,
04/24/2020,Schuyler,0,7,38,363,
04/24/2020,Seneca,18,36,135,406,
04/24/2020,St. Lawrence,12,156,64,"1,383",
04/24/2020,Steuben,33,204,556,"1,766",
04/24/2020,Suffolk,762,"31,368","2,860","80,414",
04/24/2020,Sullivan,61,689,296,"3,170",
04/24/2020,Tioga,31,71,173,645,
04/24/2020,Tompkins,5,126,308,"3,269",
04/24/2020,Ulster,190,"1,166",928,"6,939",
04/24/2020,Warren,10,132,94,"1,110",
04/24/2020,Washington,30,113,134,827,
04/24/2020,Wayne,12,65,257,"1,023",
04/24/2020,Westchester,598,"27,231","2,468","84,021",
04/24/2020,Wyoming,14,57,117,482,
04/24/2020,Yates,5,16,41,234,
04/23/2020,Albany,47,805,319,"8,032",
04/23/2020,Allegany,1,31,10,403,
04/23/2020,Bronx,"1,042","32,701","3,691","72,079",
04/23/2020,Broome,8,232,85,"1,714",
04/23/2020,Cattaraugus,2,39,32,586,
04/23/2020,Cayuga,2,39,14,648,
04/23/2020,Chautauqua,1,27,74,777,
04/23/2020,Chemung,3,79,39,"1,054",
04/23/2020,Chenango,2,84,20,550,
04/23/2020,Clinton,1,53,14,573,
04/23/2020,Columbia,6,129,35,"1,017",
04/23/2020,Cortland,0,25,30,906,
04/23/2020,Delaware,1,51,15,484,
04/23/2020,Dutchess,57,"2,517",374,"11,639",
04/23/2020,Erie,153,"2,603",982,"11,742",
04/23/2020,Essex,0,22,6,229,
04/23/2020,Franklin,0,13,9,275,
04/23/2020,Fulton,1,29,16,481,
04/23/2020,Genesee,1,127,19,718,
04/23/2020,Greene,1,90,31,748,
04/23/2020,Hamilton,0,3,0,29,
04/23/2020,Herkimer,2,56,27,606,
04/23/2020,Jefferson,2,58,37,"1,297",
04/23/2020,Kings,"1,294","40,648","5,030","90,343",
04/23/2020,Lewis,0,9,3,223,
04/23/2020,Livingston,3,44,54,560,
04/23/2020,Madison,0,106,4,798,
04/23/2020,Monroe,47,"1,199",470,"10,764",
04/23/2020,Montgomery,0,39,6,377,
04/23/2020,Nassau,641,"32,765","2,787","79,338",
04/23/2020,New York,506,"19,854","2,654","53,922",
04/23/2020,Niagara,37,332,192,"1,827",
04/23/2020,Oneida,6,323,67,"2,384",
04/23/2020,Onondaga,39,639,722,"8,604",
04/23/2020,Ontario,0,73,37,"1,110",
04/23/2020,Orange,339,"7,155","1,213","21,117",
04/23/2020,Orleans,1,60,13,419,
04/23/2020,Oswego,2,51,18,"1,070",
04/23/2020,Otsego,0,50,18,804,
04/23/2020,Putnam,4,619,25,"2,314",
04/23/2020,Queens,"1,483","46,387","5,468","97,998",
04/23/2020,Rensselaer,7,198,80,"2,593",
04/23/2020,Richmond,293,"10,883","1,272","28,592",
04/23/2020,Rockland,263,"10,091","1,255","24,989",
04/23/2020,Saratoga,13,278,127,"3,630",
04/23/2020,Schenectady,9,297,33,"2,379",
04/23/2020,Schoharie,0,21,13,331,
04/23/2020,Schuyler,0,7,18,325,
04/23/2020,Seneca,0,18,5,271,
04/23/2020,St. Lawrence,5,144,37,"1,319",
04/23/2020,Steuben,0,171,28,"1,210",
04/23/2020,Suffolk,"1,039","30,606","3,858","77,554",
04/23/2020,Sullivan,48,628,253,"2,874",
04/23/2020,Tioga,0,40,10,472,
04/23/2020,Tompkins,2,121,108,"2,961",
04/23/2020,Ulster,34,976,208,"6,011",
04/23/2020,Warren,3,122,38,"1,016",
04/23/2020,Washington,3,83,26,693,
04/23/2020,Wayne,0,53,12,766,
04/23/2020,Westchester,674,"26,633","2,672","81,553",
04/23/2020,Wyoming,2,43,18,365,
04/23/2020,Yates,0,11,5,193,
04/22/2020,Albany,21,758,178,"7,713",
04/22/2020,Allegany,0,30,14,393,
04/22/2020,Bronx,791,"31,659","3,084","68,388",
04/22/2020,Broome,5,224,102,"1,629",
04/22/2020,Cattaraugus,0,37,40,554,
04/22/2020,Cayuga,1,37,12,634,
04/22/2020,Chautauqua,0,26,38,703,
04/22/2020,Chemung,1,76,29,"1,015",
04/22/2020,Chenango,3,82,20,530,
04/22/2020,Clinton,1,52,11,559,
04/22/2020,Columbia,6,123,35,982,
04/22/2020,Cortland,0,25,30,876,
04/22/2020,Delaware,0,50,21,469,
04/22/2020,Dutchess,69,"2,460",366,"11,265",
04/22/2020,Erie,217,"2,450","1,307","10,760",
04/22/2020,Essex,0,22,1,223,
04/22/2020,Franklin,0,13,8,266,
04/22/2020,Fulton,0,28,5,465,
04/22/2020,Genesee,4,126,25,699,
04/22/2020,Greene,2,89,25,717,
04/22/2020,Hamilton,0,3,0,29,
04/22/2020,Herkimer,1,54,25,579,
04/22/2020,Jefferson,2,56,28,"1,260",
04/22/2020,Kings,873,"39,354","3,526","85,313",
04/22/2020,Lewis,0,9,8,220,
04/22/2020,Livingston,2,41,22,506,
04/22/2020,Madison,0,106,7,794,
04/22/2020,Monroe,40,"1,152",500,"10,294",
04/22/2020,Montgomery,1,39,7,371,
04/22/2020,Nassau,569,"32,124","1,980","76,551",
04/22/2020,New York,323,"19,348","1,581","51,268",
04/22/2020,Niagara,27,295,195,"1,635",
04/22/2020,Oneida,16,317,174,"2,317",
04/22/2020,Onondaga,74,600,705,"7,882",
04/22/2020,Ontario,0,73,31,"1,073",
04/22/2020,Orange,126,"6,816",399,"19,904",
04/22/2020,Orleans,3,59,11,406,
04/22/2020,Oswego,0,49,21,"1,052",
04/22/2020,Otsego,1,50,22,786,
04/22/2020,Putnam,4,615,19,"2,289",
04/22/2020,Queens,"1,191","44,904","4,142","92,530",
04/22/2020,Rensselaer,5,191,52,"2,513",
04/22/2020,Richmond,245,"10,590","1,031","27,320",
04/22/2020,Rockland,129,"9,828",584,"23,734",
04/22/2020,Saratoga,1,265,52,"3,503",
04/22/2020,Schenectady,8,288,47,"2,346",
04/22/2020,Schoharie,1,21,8,318,
04/22/2020,Schuyler,0,7,108,307,
04/22/2020,Seneca,0,18,15,266,
04/22/2020,St. Lawrence,16,139,94,"1,282",
04/22/2020,Steuben,0,171,24,"1,182",
04/22/2020,Suffolk,713,"29,567","2,428","73,696",
04/22/2020,Sullivan,19,580,52,"2,621",
04/22/2020,Tioga,1,40,13,462,
04/22/2020,Tompkins,0,119,95,"2,853",
04/22/2020,Ulster,29,942,152,"5,803",
04/22/2020,Warren,11,119,40,978,
04/22/2020,Washington,7,80,36,667,
04/22/2020,Wayne,1,53,13,754,
04/22/2020,Westchester,683,"25,959","2,317","78,881",
04/22/2020,Wyoming,1,41,15,347,
04/22/2020,Yates,0,11,8,188,
04/21/2020,Albany,33,737,236,"7,535",
04/21/2020,Allegany,0,30,10,379,
04/21/2020,Bronx,879,"30,868","2,942","65,304",
04/21/2020,Broome,14,219,54,"1,527",
04/21/2020,Cattaraugus,2,37,34,514,
04/21/2020,Cayuga,0,36,3,622,
04/21/2020,Chautauqua,1,26,26,665,
04/21/2020,Chemung,0,75,38,986,
04/21/2020,Chenango,0,79,17,510,
04/21/2020,Clinton,0,51,4,548,
04/21/2020,Columbia,4,117,34,947,
04/21/2020,Cortland,0,25,5,846,
04/21/2020,Delaware,1,50,18,448,
04/21/2020,Dutchess,60,"2,391",313,"10,899",
04/21/2020,Erie,86,"2,233",347,"9,453",
04/21/2020,Essex,1,22,2,222,
04/21/2020,Franklin,0,13,2,258,
04/21/2020,Fulton,1,28,7,460,
04/21/2020,Genesee,1,122,17,674,
04/21/2020,Greene,0,87,15,692,
04/21/2020,Hamilton,0,3,1,29,
04/21/2020,Herkimer,3,53,34,554,
04/21/2020,Jefferson,0,54,8,"1,232",
04/21/2020,Kings,787,"38,481","2,827","81,787",
04/21/2020,Lewis,0,9,1,212,
04/21/2020,Livingston,0,39,15,484,
04/21/2020,Madison,0,106,3,787,
04/21/2020,Monroe,42,"1,112",409,"9,794",
04/21/2020,Montgomery,1,38,3,364,
04/21/2020,Nassau,476,"31,555","1,697","74,571",
04/21/2020,New York,326,"19,025","1,430","49,687",
04/21/2020,Niagara,8,268,49,"1,440",
04/21/2020,Oneida,17,301,117,"2,143",
04/21/2020,Onondaga,12,526,152,"7,177",
04/21/2020,Ontario,1,73,66,"1,042",
04/21/2020,Orange,129,"6,690",430,"19,505",
04/21/2020,Orleans,3,56,11,395,
04/21/2020,Oswego,0,49,4,"1,031",
04/21/2020,Otsego,0,49,15,764,
04/21/2020,Putnam,6,611,31,"2,270",
04/21/2020,Queens,891,"43,713","3,058","88,388",
04/21/2020,Rensselaer,3,186,49,"2,461",
04/21/2020,Richmond,224,"10,345",998,"26,289",
04/21/2020,Rockland,131,"9,699",478,"23,150",
04/21/2020,Saratoga,7,264,101,"3,451",
04/21/2020,Schenectady,7,280,24,"2,299",
04/21/2020,Schoharie,0,20,0,310,
04/21/2020,Schuyler,0,7,10,199,
04/21/2020,Seneca,0,18,3,251,
04/21/2020,St. Lawrence,3,123,6,"1,188",
04/21/2020,Steuben,1,171,41,"1,158",
04/21/2020,Suffolk,700,"28,854","2,188","71,268",
04/21/2020,Sullivan,6,561,45,"2,569",
04/21/2020,Tioga,2,39,10,449,
04/21/2020,Tompkins,0,119,12,"2,758",
04/21/2020,Ulster,20,913,110,"5,651",
04/21/2020,Warren,6,108,33,938,
04/21/2020,Washington,5,73,17,631,
04/21/2020,Wayne,1,52,16,741,
04/21/2020,Westchester,620,"25,276","2,016","76,564",
04/21/2020,Wyoming,4,40,14,332,
04/21/2020,Yates,1,11,1,180,
04/20/2020,Albany,17,704,164,"7,299",
04/20/2020,Allegany,0,30,9,369,
04/20/2020,Bronx,617,"29,989","2,050","62,362",
04/20/2020,Broome,6,205,47,"1,473",
04/20/2020,Cattaraugus,1,35,8,480,
04/20/2020,Cayuga,0,36,1,619,
04/20/2020,Chautauqua,0,25,3,639,
04/20/2020,Chemung,2,75,32,948,
04/20/2020,Chenango,1,79,7,493,
04/20/2020,Clinton,0,51,17,544,
